Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,"Gross domestic product, constant prices",Percent change, ,,5.361,13.340,3.863,20.585,8.438,6.479,13.968,3.933,1.282,1.466,2.017,3.049,3.516,4.016,3.995
Albania,"Gross domestic product, constant prices",Percent change, ,,5.431,5.905,7.536,3.354,3.707,2.545,1.417,1.113,2.022,2.639,3.433,3.776,4.102,4.144,4.142
Algeria,"Gross domestic product, constant prices",Percent change, ,,1.684,3.373,2.360,1.632,3.616,2.826,3.299,2.800,3.800,3.737,3.370,2.939,2.635,2.825,3.092
Angola,"Gross domestic product, constant prices",Percent change, ,,20.735,22.593,13.817,2.413,3.408,3.919,5.155,6.814,4.804,2.998,2.514,2.698,3.246,3.665,4.207
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change, ,,12.715,7.070,1.542,-10.666,-8.528,-1.867,3.609,1.537,4.206,2.150,1.999,2.400,2.700,2.700,2.700
Argentina,"Gross domestic product, constant prices",Percent change, ,,8.375,7.966,3.075,0.050,9.452,8.386,0.802,2.885,0.454,1.202,-1.007,2.776,2.909,2.773,2.781
Armenia,"Gross domestic product, constant prices",Percent change, ,,13.198,13.749,6.948,-14.150,2.200,4.700,7.134,3.300,3.533,3.005,1.886,2.500,3.000,3.500,3.500
Australia,"Gross domestic product, constant prices",Percent change, ,,2.694,4.488,2.627,1.762,2.297,2.678,3.545,2.035,2.616,2.479,2.468,3.002,3.028,2.942,2.784
Austria,"Gross domestic product, constant prices",Percent change, ,,3.351,3.621,1.547,-3.799,1.929,2.808,0.757,0.321,0.353,0.876,1.243,1.378,1.251,1.121,1.106
Azerbaijan,"Gross domestic product, constant prices",Percent change, ,,34.500,25.000,10.800,9.300,4.959,0.094,2.163,5.803,2.800,1.100,-2.991,0.988,2.197,2.290,2.456
