Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,General government net debt,National currency,Billions,,79.605,86.525,95.064,101.866,56.275,59.713,68.516,75.413,74.516,80.117,96.468,106.395,113.717,135.022,177.076
Afghanistan,General government net debt,Percent of GDP, ,,23.019,20.240,18.370,16.776,7.906,7.141,6.629,6.752,6.352,6.824,7.817,8.008,7.802,8.403,9.998
Albania,General government net debt,National currency,Billions,,494.737,517.043,595.883,682.547,715.517,772.735,828.268,949.932,"1,004.128","1,045.016","1,079.040","1,105.910","1,121.976","1,121.752","1,124.535"
Albania,General government net debt,Percent of GDP, ,,56.079,53.432,55.140,59.666,57.720,59.413,62.144,70.336,71.695,71.886,70.424,67.768,64.140,59.685,55.709
Algeria,General government net debt,National currency,Billions,,-913.196,"-1,939.440","-3,353.786","-3,303.310","-3,538.744","-4,003.267","-4,095.369","-4,274.585","-3,039.375",-559.815,"1,869.966","3,980.063","5,881.093","7,582.547","9,084.165"
Algeria,General government net debt,Percent of GDP, ,,-10.741,-20.736,-30.368,-33.139,-29.510,-27.558,-25.266,-25.683,-17.666,-3.226,10.653,20.615,28.085,33.417,36.933
Angola,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Angola,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Antigua and Barbuda,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Antigua and Barbuda,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Argentina,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Argentina,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Armenia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Armenia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Australia,General government net debt,National currency,Billions,,-65.566,-82.230,-65.384,-7.521,53.341,117.445,168.713,205.272,251.491,291.634,328.839,352.190,358.575,358.689,356.242
Australia,General government net debt,Percent of GDP, ,,-6.323,-7.271,-5.294,-0.597,3.927,8.062,11.207,13.202,15.722,17.902,19.510,19.926,19.205,18.239,17.223
Austria,General government net debt,National currency,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,157.050,158.800,156.971,161.260,164.580,164.732,164.532,163.368,162.087
Austria,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,n/a,n/a,n/a,49.534,49.183,47.669,47.829,47.505,46.129,44.773,43.200,41.652
Azerbaijan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Azerbaijan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
The Bahamas,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
The Bahamas,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bahrain,General government net debt,National currency,Billions,,1.409,1.336,1.215,1.843,2.872,3.550,4.187,5.377,5.574,7.240,9.243,11.059,12.519,14.178,15.354
Bahrain,General government net debt,Percent of GDP, ,,20.253,16.346,12.563,21.364,29.709,32.503,36.207,43.467,43.794,63.306,81.708,92.011,99.223,107.248,110.983
Bangladesh,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bangladesh,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Barbados,General government net debt,National currency,Billions,,2.567,2.864,3.211,4.072,4.212,4.361,5.101,6.075,6.269,6.687,7.039,7.371,7.733,8.127,8.557
Barbados,General government net debt,Percent of GDP, ,,29.415,31.419,34.926,44.611,47.590,50.104,58.744,69.566,71.766,75.415,77.573,78.317,78.641,78.960,79.453
Belarus,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Belarus,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Belgium,General government net debt,National currency,Billions,,198.943,187.003,194.916,212.798,217.278,230.241,241.766,249.272,253.184,261.510,273.054,282.469,290.784,300.460,309.842
Belgium,General government net debt,Percent of GDP, ,,60.902,54.249,55.051,61.012,59.512,60.733,62.404,63.477,63.194,63.819,65.187,65.896,65.991,66.341,66.472
Belize,General government net debt,National currency,Billions,,2.240,2.253,2.172,2.265,2.365,2.398,2.379,2.472,2.584,2.705,3.376,3.510,3.623,3.745,3.872
Belize,General government net debt,Percent of GDP, ,,90.632,85.976,79.750,83.663,83.212,79.393,74.977,75.224,75.330,76.258,92.427,92.036,90.602,89.471,88.574
Benin,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Benin,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bhutan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bhutan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bolivia,General government net debt,National currency,Billions,,38.430,28.078,24.872,28.172,25.345,23.986,20.660,21.474,30.160,58.505,86.016,113.168,140.656,158.843,177.343
Bolivia,General government net debt,Percent of GDP, ,,41.886,27.258,20.607,23.144,18.382,14.429,11.039,10.136,13.228,25.680,36.897,44.227,50.088,51.588,52.798
Bosnia and Herzegovina,General government net debt,National currency,Billions,,2.558,0.960,5.397,6.625,9.102,9.621,10.084,10.208,10.236,10.886,11.285,11.584,11.901,12.017,11.882
Bosnia and Herzegovina,General government net debt,Percent of GDP, ,,13.169,4.387,21.601,26.736,35.908,36.709,38.497,38.172,37.488,39.084,39.257,38.555,37.689,35.792,33.120
Botswana,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Botswana,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Brazil,General government net debt,National currency,Billions,,"1,120.053","1,200.799","1,153.631","1,345.325","1,475.820","1,508.547","1,550.083","1,626.335","1,883.147","2,136.888","2,725.502","3,220.574","3,716.215","4,246.412","4,807.176"
Brazil,General government net debt,Percent of GDP, ,,46.486,44.143,37.097,40.363,37.979,34.492,32.254,30.591,33.111,36.192,42.944,47.579,51.147,54.207,57.195
Brunei Darussalam,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Brunei Darussalam,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bulgaria,General government net debt,National currency,Billions,,-5.409,-6.152,-9.433,-9.463,-9.599,-8.776,-8.041,-6.350,-1.949,-0.098,1.353,2.082,2.294,2.022,1.142
Bulgaria,General government net debt,Percent of GDP, ,,-10.112,-9.617,-12.905,-12.991,-13.010,-10.956,-9.861,-7.747,-2.331,-0.113,1.528,2.271,2.406,2.036,1.100
Burkina Faso,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Burkina Faso,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Burundi,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Burundi,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cabo Verde,General government net debt,National currency,Billions,,80.539,72.193,70.894,80.738,89.349,107.171,130.919,146.731,163.509,179.885,190.305,201.048,210.702,218.099,226.059
Cabo Verde,General government net debt,Percent of GDP, ,,74.078,59.188,52.632,59.419,64.480,72.450,87.075,95.914,105.530,113.516,115.853,116.431,114.634,111.386,108.437
Cambodia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cambodia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cameroon,General government net debt,National currency,Billions,,"1,489.116","1,170.810","1,014.619","1,114.198","1,348.651","1,661.634","2,085.140","2,725.295","4,364.483","5,641.066","6,800.718","7,905.734","8,988.477","9,895.059","10,938.599"
Cameroon,General government net debt,Percent of GDP, ,,15.863,11.956,9.715,10.092,11.527,13.245,15.429,18.663,27.958,33.508,38.010,41.334,43.822,45.079,46.595
Canada,General government net debt,National currency,Billions,,380.858,347.294,304.956,381.715,445.198,480.408,514.409,555.857,553.800,529.657,554.490,541.856,515.217,483.452,442.925
Canada,General government net debt,Percent of GDP, ,,25.523,22.071,18.449,24.354,26.785,27.143,28.221,29.376,28.068,26.674,27.468,25.771,23.482,21.133,18.580
Central African Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Central African Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chad,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Chad,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Chile,General government net debt,National currency,Billions,,"-5,438.349","-11,725.726","-18,083.453","-10,173.906","-7,798.894","-10,445.078","-8,800.294","-7,753.095","-6,463.910","-7,138.533","-1,872.686","2,924.229","6,770.224","9,792.404","12,692.444"
Chile,General government net debt,Percent of GDP, ,,-6.629,-12.967,-19.276,-10.563,-7.034,-8.616,-6.822,-5.650,-4.381,-4.543,-1.137,1.696,3.721,5.083,6.198
China,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
China,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Colombia,General government net debt,National currency,Billions,,"97,076.421","96,887.820","106,900.608","131,956.043","155,020.683","168,250.357","165,254.052","191,845.151","255,496.139","323,669.422","358,321.918","373,409.692","386,919.234","393,779.189","404,540.182"
Colombia,General government net debt,Percent of GDP, ,,25.287,22.476,22.267,26.148,28.448,27.067,24.870,27.011,33.789,40.257,42.155,41.241,39.746,37.439,35.577
Comoros,General government net debt,National currency,Billions,,103.804,103.274,102.356,101.456,101.579,99.663,97.074,44.204,56.356,69.787,80.124,85.821,89.663,88.047,86.996
Comoros,General government net debt,Percent of GDP, ,,65.651,61.794,57.489,53.527,50.324,46.132,42.541,18.146,22.266,26.739,29.185,29.586,29.078,26.818,24.860
Democratic Republic of the Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Democratic Republic of the Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Croatia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Croatia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Cyprus,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cyprus,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Denmark,General government net debt,National currency,Billions,,18.835,-80.252,-119.841,-101.294,-59.179,20.699,124.569,76.266,94.254,133.005,189.506,232.514,271.777,307.578,337.297
Denmark,General government net debt,Percent of GDP, ,,1.119,-4.614,-6.667,-5.909,-3.290,1.129,6.617,4.007,4.852,6.703,9.332,11.040,12.384,13.407,14.068
Djibouti,General government net debt,National currency,Billions,,78.578,84.005,100.796,103.270,97.916,96.690,103.588,85.035,115.823,161.754,200.214,204.238,216.153,220.212,220.914
Djibouti,General government net debt,Percent of GDP, ,,57.522,55.759,57.663,57.249,50.137,43.906,43.059,32.875,41.039,52.707,59.185,54.517,52.099,48.161,44.252
Dominica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Dominica,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Dominican Republic,General government net debt,National currency,Billions,,246.665,254.944,324.821,393.095,470.040,571.235,724.273,885.382,957.998,"1,041.157","1,162.943","1,290.665","1,409.232","1,558.357","1,734.821"
Dominican Republic,General government net debt,Percent of GDP, ,,19.424,17.519,19.603,22.729,23.753,25.750,30.464,34.604,34.383,34.289,35.109,35.853,36.020,36.650,37.542
Ecuador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Ecuador,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
