Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,General government net debt,National currency,Billions,,79.605,86.525,95.064,101.866,56.275,59.713,68.516,75.413,74.516,80.117,96.468,106.395,113.717,135.022,177.076
Albania,General government net debt,National currency,Billions,,494.737,517.043,595.883,682.547,715.517,772.735,828.268,949.932,"1,004.128","1,045.016","1,079.040","1,105.910","1,121.976","1,121.752","1,124.535"
Algeria,General government net debt,National currency,Billions,,-913.196,"-1,939.440","-3,353.786","-3,303.310","-3,538.744","-4,003.267","-4,095.369","-4,274.585","-3,039.375",-559.815,"1,869.966","3,980.063","5,881.093","7,582.547","9,084.165"
Angola,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Antigua and Barbuda,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Argentina,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Armenia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Australia,General government net debt,National currency,Billions,,-65.566,-82.230,-65.384,-7.521,53.341,117.445,168.713,205.272,251.491,291.634,328.839,352.190,358.575,358.689,356.242
Austria,General government net debt,National currency,Billions,,n/a,n/a,n/a,n/a,n/a,n/a,157.050,158.800,156.971,161.260,164.580,164.732,164.532,163.368,162.087
Azerbaijan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
The Bahamas,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bahrain,General government net debt,National currency,Billions,,1.409,1.336,1.215,1.843,2.872,3.550,4.187,5.377,5.574,7.240,9.243,11.059,12.519,14.178,15.354
Bangladesh,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Barbados,General government net debt,National currency,Billions,,2.567,2.864,3.211,4.072,4.212,4.361,5.101,6.075,6.269,6.687,7.039,7.371,7.733,8.127,8.557
Belarus,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Belgium,General government net debt,National currency,Billions,,198.943,187.003,194.916,212.798,217.278,230.241,241.766,249.272,253.184,261.510,273.054,282.469,290.784,300.460,309.842
Belize,General government net debt,National currency,Billions,,2.240,2.253,2.172,2.265,2.365,2.398,2.379,2.472,2.584,2.705,3.376,3.510,3.623,3.745,3.872
Benin,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bhutan,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bolivia,General government net debt,National currency,Billions,,38.430,28.078,24.872,28.172,25.345,23.986,20.660,21.474,30.160,58.505,86.016,113.168,140.656,158.843,177.343
Bosnia and Herzegovina,General government net debt,National currency,Billions,,2.558,0.960,5.397,6.625,9.102,9.621,10.084,10.208,10.236,10.886,11.285,11.584,11.901,12.017,11.882
Botswana,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Brazil,General government net debt,National currency,Billions,,"1,120.053","1,200.799","1,153.631","1,345.325","1,475.820","1,508.547","1,550.083","1,626.335","1,883.147","2,136.888","2,725.502","3,220.574","3,716.215","4,246.412","4,807.176"
Brunei Darussalam,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Bulgaria,General government net debt,National currency,Billions,,-5.409,-6.152,-9.433,-9.463,-9.599,-8.776,-8.041,-6.350,-1.949,-0.098,1.353,2.082,2.294,2.022,1.142
Burkina Faso,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Burundi,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cabo Verde,General government net debt,National currency,Billions,,80.539,72.193,70.894,80.738,89.349,107.171,130.919,146.731,163.509,179.885,190.305,201.048,210.702,218.099,226.059
Cambodia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cameroon,General government net debt,National currency,Billions,,"1,489.116","1,170.810","1,014.619","1,114.198","1,348.651","1,661.634","2,085.140","2,725.295","4,364.483","5,641.066","6,800.718","7,905.734","8,988.477","9,895.059","10,938.599"
Canada,General government net debt,National currency,Billions,,380.858,347.294,304.956,381.715,445.198,480.408,514.409,555.857,553.800,529.657,554.490,541.856,515.217,483.452,442.925
Central African Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Chad,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Chile,General government net debt,National currency,Billions,,"-5,438.349","-11,725.726","-18,083.453","-10,173.906","-7,798.894","-10,445.078","-8,800.294","-7,753.095","-6,463.910","-7,138.533","-1,872.686","2,924.229","6,770.224","9,792.404","12,692.444"
China,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Colombia,General government net debt,National currency,Billions,,"97,076.421","96,887.820","106,900.608","131,956.043","155,020.683","168,250.357","165,254.052","191,845.151","255,496.139","323,669.422","358,321.918","373,409.692","386,919.234","393,779.189","404,540.182"
Comoros,General government net debt,National currency,Billions,,103.804,103.274,102.356,101.456,101.579,99.663,97.074,44.204,56.356,69.787,80.124,85.821,89.663,88.047,86.996
Democratic Republic of the Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Republic of Congo,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Costa Rica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Côte d'Ivoire,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Croatia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Cyprus,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Czech Republic,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Denmark,General government net debt,National currency,Billions,,18.835,-80.252,-119.841,-101.294,-59.179,20.699,124.569,76.266,94.254,133.005,189.506,232.514,271.777,307.578,337.297
Djibouti,General government net debt,National currency,Billions,,78.578,84.005,100.796,103.270,97.916,96.690,103.588,85.035,115.823,161.754,200.214,204.238,216.153,220.212,220.914
Dominica,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Dominican Republic,General government net debt,National currency,Billions,,246.665,254.944,324.821,393.095,470.040,571.235,724.273,885.382,957.998,"1,041.157","1,162.943","1,290.665","1,409.232","1,558.357","1,734.821"
Ecuador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Egypt,General government net debt,National currency,Billions,,440.828,480.317,497.573,612.256,724.359,884.191,"1,069.776","1,369.615","1,635.339","1,895.893","2,222.664","2,553.570","2,929.154","3,332.328","3,737.680"
El Salvador,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Equatorial Guinea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Eritrea,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
