Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,General government net debt,Percent of GDP, ,,23.019,20.240,18.370,16.776,7.906,7.141,6.629,6.752,6.352,6.824,7.817,8.008,7.802,8.403,9.998
Albania,General government net debt,Percent of GDP, ,,56.079,53.432,55.140,59.666,57.720,59.413,62.144,70.336,71.695,71.886,70.424,67.768,64.140,59.685,55.709
Algeria,General government net debt,Percent of GDP, ,,-10.741,-20.736,-30.368,-33.139,-29.510,-27.558,-25.266,-25.683,-17.666,-3.226,10.653,20.615,28.085,33.417,36.933
Angola,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Antigua and Barbuda,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Argentina,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Armenia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Australia,General government net debt,Percent of GDP, ,,-6.323,-7.271,-5.294,-0.597,3.927,8.062,11.207,13.202,15.722,17.902,19.510,19.926,19.205,18.239,17.223
Austria,General government net debt,Percent of GDP, ,,n/a,n/a,n/a,n/a,n/a,n/a,49.534,49.183,47.669,47.829,47.505,46.129,44.773,43.200,41.652
Azerbaijan,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
The Bahamas,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Bahrain,General government net debt,Percent of GDP, ,,20.253,16.346,12.563,21.364,29.709,32.503,36.207,43.467,43.794,63.306,81.708,92.011,99.223,107.248,110.983
Bangladesh,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Barbados,General government net debt,Percent of GDP, ,,29.415,31.419,34.926,44.611,47.590,50.104,58.744,69.566,71.766,75.415,77.573,78.317,78.641,78.960,79.453
Belarus,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Belgium,General government net debt,Percent of GDP, ,,60.902,54.249,55.051,61.012,59.512,60.733,62.404,63.477,63.194,63.819,65.187,65.896,65.991,66.341,66.472
Belize,General government net debt,Percent of GDP, ,,90.632,85.976,79.750,83.663,83.212,79.393,74.977,75.224,75.330,76.258,92.427,92.036,90.602,89.471,88.574
Benin,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
